"module name","licenses"
"@next/env@12.1.5","MIT"
"@next/swc-linux-x64-gnu@12.1.5","MIT"
"@next/swc-linux-x64-musl@12.1.5","MIT"
"@ory/client@0.0.1-alpha.169","Apache-2.0"
"@ory/integrations@0.2.5","Apache-2.0"
"@types/tldjs@2.3.1","MIT"
"ajv@6.12.6","MIT"
"asn1@0.2.6","MIT"
"assert-plus@1.0.0","MIT"
"asynckit@0.4.0","MIT"
"aws-sign2@0.7.0","Apache-2.0"
"aws4@1.11.0","MIT"
"axios@0.21.4","MIT"
"bcrypt-pbkdf@1.0.2","BSD-3-Clause"
"binaryextensions@4.18.0","MIT"
"caniuse-lite@1.0.30001332","CC-BY-4.0"
"caseless@0.12.0","Apache-2.0"
"combined-stream@1.0.8","MIT"
"cookie@0.4.2","MIT"
"core-util-is@1.0.2","MIT"
"dashdash@1.14.1","MIT"
"delayed-stream@1.0.0","MIT"
"ecc-jsbn@0.1.2","MIT"
"extend@3.0.2","MIT"
"extsprintf@1.3.0","MIT"
"fast-deep-equal@3.1.3","MIT"
"fast-json-stable-stringify@2.1.0","MIT"
"follow-redirects@1.14.9","MIT"
"forever-agent@0.6.1","Apache-2.0"
"form-data@2.3.3","MIT"
"getpass@0.1.7","MIT"
"har-schema@2.0.0","ISC"
"har-validator@5.1.5","MIT"
"http-signature@1.2.0","MIT"
"is-typedarray@1.0.0","MIT"
"isstream@0.1.2","MIT"
"istextorbinary@6.0.0","MIT"
"js-tokens@4.0.0","MIT"
"jsbn@0.1.1","MIT"
"json-schema-traverse@0.4.1","MIT"
"json-schema@0.4.0","(AFL-2.1 OR BSD-3-Clause)"
"json-stringify-safe@5.0.1","ISC"
"jsprim@1.4.2","MIT"
"loose-envify@1.4.0","MIT"
"mime-db@1.52.0","MIT"
"mime-types@2.1.35","MIT"
"nanoid@3.3.3","MIT"
"next@12.1.5","MIT"
"oauth-sign@0.9.0","Apache-2.0"
"object-assign@4.1.1","MIT"
"ory-prettier-styles@1.1.2","Apache*"
"performance-now@2.1.0","MIT"
"picocolors@1.0.0","ISC"
"postcss@8.4.5","MIT"
"prettier@2.6.2","MIT"
"psl@1.8.0","MIT"
"punycode@1.4.1","MIT"
"punycode@2.1.1","MIT"
"qs@6.5.3","BSD-3-Clause"
"react-dom@17.0.2","MIT"
"react@17.0.2","MIT"
"request@2.88.2","Apache-2.0"
"safe-buffer@5.1.2","MIT"
"safer-buffer@2.1.2","MIT"
"scheduler@0.20.2","MIT"
"set-cookie-parser@2.4.8","MIT"
"source-map-js@1.0.2","BSD-3-Clause"
"sshpk@1.17.0","MIT"
"styled-jsx@5.0.1","MIT"
"textextensions@5.15.0","MIT"
"tldjs@2.3.1","MIT"
"tough-cookie@2.5.0","BSD-3-Clause"
"tunnel-agent@0.6.0","Apache-2.0"
"tweetnacl@0.14.5","Unlicense"
"uri-js@4.4.1","BSD-2-Clause"
"uuid@3.4.0","MIT"
"verror@1.10.0","MIT"

